id,y,x
O,11,10
NA,10,10
NA,9,10
NA,8,10
NA,7,10
NA,6,10
NA,5,10
NA,4,10
NA,3,10
NA,2,10
NA,1,10
NA,48,11
NA,47,11
NA,46,11
NA,45,11
NA,44,11
NA,43,11
NA,42,11
NA,41,11
NA,40,11
NA,39,11
NA,38,11
NA,37,11
M2,36,11
I1,35,11
NA,34,11
NA,33,11
NA,32,11
NA,31,11
m2,30,11
NA,29,11
NA,28,11
NA,27,11
NA,26,11
NA,25,11
NA,24,11
I2,23,11
I2,22,11
NA,21,11
O,20,11
S,19,11
S,18,11
C,17,11
C,16,11
S,15,11
I1,14,11
O,13,11
I2,12,11
M2,11,11
NA,10,11
NA,9,11
NA,8,11
NA,7,11
NA,6,11
NA,5,11
NA,4,11
NA,3,11
NA,2,11
i1,1,11
NA,48,12
NA,47,12
NA,46,12
NA,45,12
NA,44,12
NA,43,12
NA,42,12
NA,41,12
NA,40,12
NA,39,12
NA,38,12
M2,37,12
M2,36,12
NA,35,12
I1,34,12
I2,33,12
NA,32,12
NA,31,12
NA,30,12
I2,29,12
NA,28,12
NA,27,12
m1,26,12
NA,25,12
NA,24,12
M1,23,12
I2,22,12
I2,21,12
S,20,12
I1,19,12
NA,18,12
S,17,12
C,16,12
I1,15,12
A,14,12
NA,13,12
NA,12,12
NA,11,12
NA,10,12
NA,9,12
NA,8,12
NA,7,12
NA,6,12
NA,5,12
NA,4,12
NA,3,12
NA,2,12
NA,1,12
NA,48,13
NA,47,13
NA,46,13
NA,45,13
NA,44,13
NA,43,13
NA,42,13
NA,41,13
NA,40,13
NA,39,13
NA,38,13
NA,37,13
NA,36,13
NA,35,13
NA,34,13
N,33,13
M1,32,13
M1,31,13
M1,30,13
I1,29,13
NA,28,13
M1,27,13
NA,26,13
NA,25,13
NA,24,13
NA,23,13
NA,22,13
O,21,13
S,20,13
NA,19,13
NA,18,13
NA,17,13
NA,16,13
NA,15,13
NA,14,13
NA,13,13
NA,12,13
NA,11,13
NA,10,13
NA,9,13
NA,8,13
NA,7,13
NA,6,13
NA,5,13
NA,4,13
NA,3,13
I1,2,13
NA,1,13
NA,48,14
NA,47,14
NA,46,14
NA,45,14
NA,44,14
NA,43,14
NA,42,14
NA,41,14
NA,40,14
NA,39,14
NA,38,14
NA,37,14
NA,36,14
N,35,14
M2,34,14
A,33,14
M1,32,14
M1,31,14
M1,30,14
I2,29,14
M1,28,14
M1,27,14
M1,26,14
i1,25,14
NA,24,14
NA,23,14
NA,22,14
NA,21,14
NA,20,14
NA,19,14
NA,18,14
NA,17,14
NA,16,14
NA,15,14
NA,14,14
NA,13,14
NA,12,14
NA,11,14
NA,10,14
I2,9,14
NA,8,14
NA,7,14
NA,6,14
NA,5,14
NA,4,14
NA,3,14
D,2,14
I1,1,14
NA,48,15
NA,47,15
NA,46,15
NA,45,15
NA,44,15
NA,43,15
NA,42,15
NA,41,15
NA,40,15
NA,39,15
N,38,15
M2,37,15
A,36,15
M1,35,15
M1,34,15
M1,33,15
M1,32,15
M1,31,15
M1,30,15
I1,29,15
M1,28,15
M1,27,15
NA,26,15
NA,25,15
NA,24,15
O,23,15
O,22,15
NA,21,15
NA,20,15
NA,19,15
NA,18,15
NA,17,15
NA,16,15
NA,15,15
NA,14,15
NA,13,15
NA,12,15
NA,11,15
I1,10,15
S,9,15
D,8,15
NA,7,15
NA,6,15
NA,5,15
D,4,15
D,3,15
D,2,15
NA,1,15
NA,48,16
NA,47,16
NA,46,16
NA,45,16
NA,44,16
NA,43,16
NA,42,16
NA,41,16
NA,40,16
NA,39,16
M1,38,16
M1,37,16
M1,36,16
M1,35,16
M1,34,16
M1,33,16
M1,32,16
I1,31,16
I1,30,16
M1,29,16
M1,28,16
D,27,16
I2,26,16
C,25,16
D,24,16
O,23,16
S,22,16
NA,21,16
O,20,16
O,19,16
NA,18,16
NA,17,16
NA,16,16
m1,15,16
O,14,16
NA,13,16
NA,12,16
NA,11,16
O,10,16
O,9,16
NA,8,16
NA,7,16
NA,6,16
C,5,16
I1,4,16
D,3,16
NA,2,16
NA,1,16
NA,48,17
NA,47,17
NA,46,17
NA,45,17
NA,44,17
NA,43,17
NA,42,17
NA,41,17
NA,40,17
NA,39,17
M1,38,17
M1,37,17
M1,36,17
D,35,17
D,34,17
I1,33,17
M1,32,17
M1,31,17
M1,30,17
M1,29,17
D,28,17
I2,27,17
C,26,17
D,25,17
O,24,17
S,23,17
S,22,17
NA,21,17
NA,20,17
NA,19,17
NA,18,17
NA,17,17
NA,16,17
i2,15,17
A,14,17
A,13,17
NA,12,17
S,11,17
S,10,17
D,9,17
C,8,17
NA,7,17
D,6,17
C,5,17
C,4,17
D,3,17
NA,2,17
NA,1,17
NA,48,18
NA,47,18
NA,46,18
NA,45,18
NA,44,18
NA,43,18
NA,42,18
NA,41,18
NA,40,18
NA,39,18
D,38,18
I1,37,18
I1,36,18
NA,35,18
D,34,18
M1,33,18
I1,32,18
M1,31,18
M1,30,18
D,29,18
I2,28,18
C,27,18
C,26,18
O,25,18
S,24,18
P,23,18
I1,22,18
NA,21,18
NA,20,18
NA,19,18
NA,18,18
NA,17,18
NA,16,18
S,15,18
I2,14,18
I2,13,18
O,12,18
S,11,18
O,10,18
C,9,18
C,8,18
NA,7,18
D,6,18
C,5,18
I1,4,18
I2,3,18
NA,2,18
NA,1,18
NA,48,19
NA,47,19
NA,46,19
NA,45,19
NA,44,19
NA,43,19
NA,42,19
NA,41,19
d,40,19
NA,39,19
D,38,19
D,37,19
NA,36,19
NA,35,19
D,34,19
I1,33,19
M1,32,19
I1,31,19
M1,30,19
I2,29,19
I2,28,19
C,27,19
O,26,19
S,25,19
S,24,19
I2,23,19
T,22,19
O,21,19
I1,20,19
NA,19,19
NA,18,19
NA,17,19
NA,16,19
T,15,19
O,14,19
O,13,19
S,12,19
O,11,19
D,10,19
C,9,19
C,8,19
NA,7,19
D,6,19
P,5,19
P,4,19
D,3,19
NA,2,19
NA,1,19
NA,48,20
NA,47,20
NA,46,20
NA,45,20
NA,44,20
NA,43,20
NA,42,20
d,41,20
d,40,20
NA,39,20
NA,38,20
NA,37,20
NA,36,20
NA,35,20
M1,34,20
I1,33,20
M1,32,20
I1,31,20
D,30,20
D,29,20
I1,28,20
I2,27,20
S,26,20
S,25,20
S,24,20
C,23,20
T,22,20
I2,21,20
S,20,20
NA,19,20
T,18,20
T,17,20
T,16,20
T,15,20
T,14,20
T,13,20
N,12,20
S,11,20
D,10,20
D,9,20
T,8,20
T,7,20
T,6,20
K,5,20
K,4,20
NA,3,20
NA,2,20
NA,1,20
NA,48,21
NA,47,21
NA,46,21
NA,45,21
NA,44,21
NA,43,21
NA,42,21
NA,41,21
NA,40,21
NA,39,21
NA,38,21
NA,37,21
NA,36,21
NA,35,21
M1,34,21
M1,33,21
I1,32,21
I1,31,21
I2,30,21
NA,29,21
NA,28,21
NA,27,21
D,26,21
D,25,21
C,24,21
C,23,21
C,22,21
P,21,21
S,20,21
C,19,21
C,18,21
C,17,21
T,16,21
T,15,21
T,14,21
T,13,21
D,12,21
D,11,21
D,10,21
D,9,21
T,8,21
T,7,21
J,6,21
J,5,21
J,4,21
NA,3,21
NA,2,21
NA,1,21
NA,48,22
i1,47,22
M1,46,22
m1,45,22
NA,44,22
NA,43,22
NA,42,22
NA,41,22
NA,40,22
NA,39,22
NA,38,22
NA,37,22
NA,36,22
NA,35,22
M1,34,22
M1,33,22
NA,32,22
NA,31,22
NA,30,22
NA,29,22
NA,28,22
NA,27,22
C,26,22
I1,25,22
C,24,22
I1,23,22
C,22,22
C,21,22
C,20,22
S,19,22
C,18,22
C,17,22
C,16,22
C,15,22
C,14,22
T,13,22
T,12,22
T,11,22
T,10,22
J,9,22
J,8,22
J,7,22
J,6,22
K,5,22
K,4,22
NA,3,22
NA,2,22
NA,1,22
m1,48,23
NA,47,23
NA,46,23
NA,45,23
NA,44,23
NA,43,23
NA,42,23
NA,41,23
NA,40,23
NA,39,23
NA,38,23
NA,37,23
NA,36,23
NA,35,23
NA,34,23
NA,33,23
NA,32,23
NA,31,23
NA,30,23
NA,29,23
NA,28,23
NA,27,23
NA,26,23
C,25,23
C,24,23
C,23,23
C,22,23
C,21,23
C,20,23
C,19,23
C,18,23
C,17,23
C,16,23
C,15,23
T,14,23
T,13,23
T,12,23
T,11,23
J,10,23
J,9,23
J,8,23
K,7,23
K,6,23
Z,5,23
NA,4,23
NA,3,23
NA,2,23
NA,1,23
NA,48,24
NA,47,24
NA,46,24
NA,45,24
NA,44,24
NA,43,24
NA,42,24
NA,41,24
NA,40,24
